J       CT       CP       eta
0.366   0.0477   0.0375   0.466
0.389   0.0445   0.0367   0.472
0.414   0.0409   0.0357   0.474
0.434   0.0378   0.0347   0.473
0.455   0.0346   0.0336   0.469
0.475   0.0320   0.0326   0.466
0.500   0.0273   0.0308   0.443
0.520   0.0243   0.0297   0.426
0.545   0.0208   0.0285   0.398
0.567   0.0158   0.0264   0.339
0.587   0.0113   0.0244   0.270
0.612   0.0049   0.0217   0.139
0.630   0.0018   0.0202   0.057
0.650   -0.0025   0.0182   -0.089
0.677   -0.0084   0.0154   -0.372
0.698   -0.0128   0.0133   -0.670
0.722   -0.0184   0.0106   -1.249
0.743   -0.0230   0.0084   -2.033
