J       CT       CP       eta
0.107   0.0901   0.0454   0.212
0.136   0.0876   0.0459   0.260
0.158   0.0853   0.0461   0.293
0.184   0.0817   0.0459   0.327
0.211   0.0762   0.0452   0.355
0.237   0.0704   0.0444   0.377
0.264   0.0662   0.0437   0.400
0.292   0.0621   0.0430   0.423
0.315   0.0592   0.0422   0.441
0.341   0.0558   0.0416   0.457
0.365   0.0523   0.0405   0.471
0.393   0.0480   0.0393   0.480
0.419   0.0444   0.0384   0.484
0.443   0.0410   0.0372   0.488
0.473   0.0359   0.0354   0.480
0.495   0.0323   0.0341   0.470
0.525   0.0272   0.0320   0.445
