J       CT       CP       eta
0.174   0.0926   0.0554   0.291
0.217   0.0850   0.0551   0.334
0.259   0.0775   0.0547   0.367
0.305   0.0703   0.0538   0.399
0.345   0.0645   0.0524   0.424
0.394   0.0570   0.0501   0.448
0.431   0.0522   0.0488   0.461
0.479   0.0448   0.0461   0.465
0.520   0.0385   0.0436   0.459
0.570   0.0297   0.0395   0.428
0.604   0.0240   0.0369   0.393
0.657   0.0140   0.0320   0.287
0.702   0.0051   0.0275   0.131
0.728   0.0002   0.0248   0.005
0.783   -0.0122   0.0181   -0.526
0.826   -0.0217   0.0129   -1.386
0.874   -0.0327   0.0065   -4.387
