J       CT       CP       eta
0.121   0.0813   0.0486   0.203
0.152   0.0763   0.0486   0.239
0.185   0.0729   0.0484   0.278
0.218   0.0691   0.0482   0.313
0.248   0.0659   0.0477   0.342
0.289   0.0610   0.0471   0.374
0.316   0.0572   0.0462   0.391
0.350   0.0524   0.0451   0.407
0.386   0.0473   0.0438   0.417
0.417   0.0426   0.0423   0.420
0.450   0.0373   0.0406   0.413
0.479   0.0325   0.0389   0.401
0.515   0.0262   0.0365   0.370
0.541   0.0216   0.0346   0.338
0.580   0.0140   0.0314   0.259
0.613   0.0075   0.0287   0.160
0.634   0.0031   0.0269   0.074
