J       CT       CP       eta
0.158   0.0945   0.0574   0.260
0.199   0.0897   0.0577   0.310
0.240   0.0840   0.0576   0.350
0.274   0.0780   0.0569   0.375
0.322   0.0685   0.0546   0.404
0.358   0.0627   0.0531   0.423
0.397   0.0570   0.0516   0.438
0.436   0.0507   0.0497   0.445
0.478   0.0442   0.0477   0.443
0.521   0.0367   0.0450   0.425
0.553   0.0313   0.0432   0.400
0.603   0.0215   0.0392   0.331
0.633   0.0157   0.0367   0.271
0.680   0.0064   0.0325   0.133
0.723   -0.0027   0.0286   -0.069
0.742   -0.0070   0.0266   -0.194
0.792   -0.0185   0.0211   -0.695
