J       CT       CP       eta
0.095   0.0647   0.0291   0.210
0.124   0.0603   0.0286   0.261
0.148   0.0565   0.0280   0.299
0.173   0.0527   0.0273   0.334
0.203   0.0479   0.0264   0.370
0.228   0.0442   0.0256   0.394
0.259   0.0392   0.0245   0.414
0.286   0.0352   0.0238   0.423
0.313   0.0304   0.0228   0.418
0.339   0.0263   0.0218   0.408
0.368   0.0207   0.0203   0.374
0.391   0.0164   0.0191   0.336
0.422   0.0102   0.0173   0.248
0.449   0.0049   0.0156   0.142
0.475   -0.0004   0.0138   -0.014
0.502   -0.0064   0.0118   -0.272
0.529   -0.0122   0.0098   -0.660
