J       CT       CP       eta
0.120   0.0696   0.0441   0.189
0.151   0.0665   0.0437   0.230
0.185   0.0628   0.0431   0.270
0.216   0.0594   0.0427   0.301
0.254   0.0549   0.0420   0.332
0.289   0.0504   0.0410   0.355
0.324   0.0455   0.0398   0.370
0.355   0.0412   0.0386   0.379
0.391   0.0357   0.0370   0.377
0.421   0.0310   0.0354   0.369
0.458   0.0252   0.0335   0.345
0.492   0.0192   0.0309   0.305
0.517   0.0148   0.0292   0.263
0.558   0.0070   0.0257   0.151
0.593   0.0005   0.0231   0.014
0.625   -0.0059   0.0202   -0.184
0.652   -0.0114   0.0177   -0.419
