J       CT       CP       eta
0.090   0.0754   0.0442   0.153
0.124   0.0720   0.0439   0.203
0.146   0.0695   0.0434   0.234
0.172   0.0672   0.0433   0.266
0.199   0.0643   0.0430   0.297
0.227   0.0610   0.0425   0.326
0.253   0.0575   0.0417   0.349
0.282   0.0539   0.0411   0.371
0.308   0.0505   0.0403   0.386
0.334   0.0469   0.0395   0.397
0.364   0.0425   0.0382   0.405
0.388   0.0388   0.0372   0.404
0.417   0.0340   0.0356   0.398
0.440   0.0304   0.0344   0.388
0.467   0.0257   0.0327   0.367
0.493   0.0213   0.0311   0.339
0.518   0.0167   0.0291   0.297
