J       CT       CP       eta
0.080   0.0781   0.0444   0.140
0.106   0.0755   0.0442   0.180
0.128   0.0732   0.0439   0.213
0.152   0.0709   0.0438   0.247
0.176   0.0686   0.0436   0.276
0.201   0.0655   0.0432   0.305
0.226   0.0628   0.0429   0.331
0.250   0.0600   0.0424   0.353
0.273   0.0572   0.0420   0.371
0.299   0.0534   0.0412   0.387
0.322   0.0503   0.0406   0.400
0.344   0.0471   0.0398   0.408
0.369   0.0432   0.0387   0.412
0.394   0.0395   0.0376   0.414
0.415   0.0366   0.0368   0.413
0.444   0.0318   0.0352   0.400
0.464   0.0285   0.0341   0.388
