J       CT       CP       eta
0.120   0.0749   0.0517   0.174
0.151   0.0717   0.0517   0.210
0.186   0.0678   0.0512   0.246
0.217   0.0637   0.0507   0.273
0.254   0.0590   0.0499   0.301
0.286   0.0547   0.0490   0.319
0.319   0.0504   0.0481   0.334
0.353   0.0455   0.0467   0.344
0.384   0.0411   0.0456   0.346
0.415   0.0362   0.0440   0.342
0.450   0.0306   0.0420   0.327
0.480   0.0256   0.0403   0.305
0.513   0.0190   0.0383   0.254
0.543   0.0135   0.0364   0.201
0.582   0.0061   0.0337   0.106
0.609   0.0004   0.0313   0.009
0.646   -0.0072   0.0282   -0.165
