J       CT       CP       eta
0.134   0.0987   0.0523   0.252
0.169   0.0962   0.0536   0.304
0.205   0.0924   0.0538   0.352
0.239   0.0885   0.0540   0.392
0.278   0.0832   0.0542   0.427
0.311   0.0788   0.0538   0.455
0.346   0.0729   0.0534   0.473
0.382   0.0662   0.0514   0.492
0.421   0.0597   0.0500   0.502
0.453   0.0538   0.0481   0.506
0.494   0.0460   0.0459   0.495
0.527   0.0386   0.0426   0.478
0.562   0.0309   0.0394   0.440
0.602   0.0212   0.0355   0.361
0.623   0.0163   0.0331   0.308
0.665   0.0054   0.0274   0.130
0.704   -0.0037   0.0226   -0.116
