J       CT       CP       eta
0.095   0.0940   0.0432   0.207
0.117   0.0926   0.0436   0.249
0.139   0.0908   0.0438   0.288
0.164   0.0886   0.0440   0.330
0.188   0.0867   0.0443   0.367
0.212   0.0842   0.0444   0.401
0.233   0.0822   0.0447   0.429
0.256   0.0797   0.0448   0.455
0.279   0.0772   0.0450   0.479
0.303   0.0743   0.0450   0.499
0.325   0.0715   0.0450   0.516
0.351   0.0673   0.0446   0.530
0.374   0.0631   0.0438   0.538
0.393   0.0590   0.0429   0.541
0.416   0.0536   0.0414   0.539
0.438   0.0483   0.0397   0.533
0.463   0.0421   0.0376   0.518
