J       CT       CP       eta
0.125   0.1349   0.1010   0.166
0.157   0.1359   0.0997   0.214
0.190   0.1352   0.1002   0.256
0.222   0.1330   0.1008   0.293
0.259   0.1303   0.1015   0.332
0.292   0.1310   0.1011   0.378
0.322   0.1282   0.1021   0.405
0.359   0.1248   0.1031   0.434
0.392   0.1206   0.1037   0.455
0.425   0.1171   0.1047   0.475
0.457   0.1128   0.1052   0.490
0.492   0.1075   0.1054   0.501
0.518   0.1031   0.1056   0.506
0.553   0.0971   0.1056   0.508
0.584   0.0904   0.1051   0.502
0.616   0.0818   0.1032   0.489
0.646   0.0732   0.1003   0.472
