J       CT       CP       eta
0.102   0.1041   0.0835   0.127
0.130   0.1029   0.0825   0.162
0.154   0.1015   0.0815   0.193
0.183   0.1002   0.0795   0.230
0.210   0.0996   0.0781   0.269
0.238   0.0989   0.0771   0.305
0.265   0.0982   0.0762   0.342
0.293   0.0969   0.0754   0.376
0.320   0.0956   0.0757   0.404
0.346   0.0933   0.0754   0.428
0.373   0.0908   0.0755   0.448
0.400   0.0881   0.0754   0.467
0.428   0.0847   0.0750   0.483
0.450   0.0818   0.0749   0.492
0.485   0.0771   0.0742   0.504
0.513   0.0732   0.0736   0.511
0.535   0.0701   0.0731   0.513
