J       CT       CP       eta
0.146   0.0837   0.0385   0.318
0.182   0.0789   0.0385   0.372
0.213   0.0732   0.0378   0.411
0.257   0.0628   0.0357   0.452
0.288   0.0556   0.0337   0.476
0.330   0.0478   0.0314   0.502
0.358   0.0430   0.0300   0.514
0.397   0.0367   0.0281   0.520
0.428   0.0317   0.0265   0.512
0.470   0.0246   0.0242   0.479
0.511   0.0171   0.0213   0.412
0.550   0.0092   0.0183   0.278
0.585   0.0019   0.0154   0.073
0.618   -0.0048   0.0125   -0.236
0.650   -0.0115   0.0096   -0.779
0.685   -0.0189   0.0064   -2.019
