J       CT       CP       eta
0.175   0.0971   0.0752   0.226
0.217   0.0983   0.0727   0.293
0.263   0.1013   0.0698   0.383
0.304   0.1000   0.0693   0.439
0.349   0.0974   0.0691   0.493
0.397   0.0937   0.0688   0.541
0.440   0.0894   0.0686   0.574
0.479   0.0849   0.0683   0.596
0.520   0.0800   0.0681   0.610
0.569   0.0715   0.0667   0.609
0.612   0.0592   0.0619   0.586
0.665   0.0452   0.0544   0.553
0.695   0.0390   0.0510   0.532
0.748   0.0270   0.0440   0.459
0.779   0.0217   0.0411   0.412
0.833   0.0112   0.0351   0.266
0.859   0.0065   0.0323   0.172
