J       CT       CP       eta
0.133   0.0750   0.0332   0.301
0.162   0.0706   0.0329   0.346
0.199   0.0629   0.0318   0.393
0.232   0.0555   0.0301   0.427
0.266   0.0489   0.0283   0.459
0.300   0.0433   0.0268   0.485
0.333   0.0383   0.0254   0.503
0.366   0.0332   0.0238   0.510
0.398   0.0283   0.0224   0.504
0.432   0.0230   0.0207   0.482
0.464   0.0177   0.0187   0.437
0.497   0.0118   0.0166   0.353
0.529   0.0059   0.0143   0.218
0.558   0.0007   0.0122   0.030
0.592   -0.0057   0.0097   -0.348
0.621   -0.0119   0.0072   -1.028
