J       CT       CP       eta
0.086   0.1053   0.0571   0.159
0.109   0.1059   0.0563   0.205
0.134   0.1065   0.0561   0.254
0.153   0.1051   0.0561   0.287
0.175   0.1040   0.0564   0.323
0.198   0.1024   0.0566   0.358
0.220   0.1010   0.0568   0.390
0.242   0.0991   0.0569   0.422
0.264   0.0970   0.0569   0.450
0.288   0.0953   0.0572   0.480
0.307   0.0937   0.0574   0.501
0.329   0.0913   0.0573   0.524
0.348   0.0896   0.0575   0.543
0.374   0.0865   0.0572   0.566
0.396   0.0841   0.0571   0.583
0.413   0.0816   0.0567   0.595
0.435   0.0791   0.0566   0.607
