J       CT       CP       eta
0.255   0.0867   0.0474   0.466
0.300   0.0835   0.0475   0.527
0.342   0.0801   0.0476   0.575
0.385   0.0759   0.0476   0.614
0.429   0.0707   0.0472   0.642
0.465   0.0651   0.0462   0.655
0.517   0.0526   0.0418   0.650
0.557   0.0438   0.0379   0.643
0.599   0.0344   0.0330   0.624
0.643   0.0262   0.0286   0.590
0.680   0.0202   0.0253   0.542
0.722   0.0135   0.0217   0.448
0.764   0.0058   0.0172   0.256
0.814   -0.0028   0.0122   -0.190
0.854   -0.0106   0.0073   -1.243
