J       CT       CP       eta
0.146   0.0950   0.0480   0.289
0.176   0.0940   0.0477   0.347
0.202   0.0933   0.0478   0.393
0.228   0.0919   0.0479   0.436
0.252   0.0902   0.0480   0.473
0.277   0.0885   0.0484   0.508
0.300   0.0867   0.0486   0.535
0.327   0.0846   0.0488   0.567
0.353   0.0823   0.0488   0.595
0.378   0.0798   0.0487   0.619
0.403   0.0776   0.0489   0.640
0.425   0.0750   0.0485   0.657
0.449   0.0720   0.0481   0.673
0.474   0.0690   0.0477   0.686
0.497   0.0658   0.0471   0.694
