J       CT       CP       eta
0.506   0.0704   0.0686   0.520
0.541   0.0623   0.0664   0.507
0.568   0.0542   0.0631   0.487
0.595   0.0466   0.0598   0.463
0.628   0.0371   0.0553   0.422
0.664   0.0285   0.0510   0.371
0.689   0.0227   0.0483   0.323
0.726   0.0143   0.0442   0.234
0.750   0.0091   0.0419   0.162
0.782   0.0018   0.0385   0.036
0.805   -0.0037   0.0359   -0.082
0.848   -0.0149   0.0309   -0.408
0.869   -0.0200   0.0284   -0.612
0.906   -0.0298   0.0235   -1.150
0.935   -0.0373   0.0197   -1.775
0.969   -0.0466   0.0149   -3.041
