J       CT       CP       eta
0.108   0.0906   0.0401   0.243
0.133   0.0878   0.0404   0.290
0.160   0.0844   0.0406   0.333
0.189   0.0796   0.0402   0.374
0.214   0.0757   0.0398   0.406
0.240   0.0704   0.0389   0.435
0.271   0.0638   0.0374   0.461
0.296   0.0580   0.0359   0.478
0.322   0.0525   0.0344   0.491
0.348   0.0466   0.0326   0.497
0.376   0.0407   0.0307   0.499
0.400   0.0359   0.0290   0.495
0.425   0.0312   0.0274   0.483
0.454   0.0255   0.0254   0.456
0.477   0.0212   0.0239   0.424
0.508   0.0146   0.0213   0.348
0.530   0.0101   0.0196   0.272
