J       CT       CP       eta
0.149   0.1135   0.0785   0.215
0.187   0.1123   0.0769   0.272
0.232   0.1124   0.0745   0.350
0.271   0.1103   0.0745   0.401
0.317   0.1047   0.0735   0.452
0.356   0.1008   0.0733   0.489
0.396   0.0964   0.0732   0.521
0.436   0.0910   0.0730   0.544
0.470   0.0860   0.0727   0.556
0.522   0.0756   0.0714   0.553
0.555   0.0655   0.0673   0.540
0.605   0.0510   0.0606   0.509
0.632   0.0443   0.0575   0.487
0.684   0.0311   0.0507   0.420
0.712   0.0254   0.0483   0.375
0.759   0.0155   0.0435   0.270
0.803   0.0055   0.0386   0.114
