J       CT       CP       eta
0.378   0.0632   0.0422   0.567
0.400   0.0584   0.0409   0.572
0.421   0.0542   0.0398   0.573
0.441   0.0492   0.0383   0.566
0.466   0.0434   0.0367   0.551
0.487   0.0381   0.0351   0.528
0.507   0.0328   0.0336   0.495
0.532   0.0262   0.0318   0.439
0.552   0.0204   0.0302   0.374
0.580   0.0121   0.0277   0.253
0.600   0.0063   0.0260   0.146
0.619   0.0002   0.0242   0.004
0.646   -0.0082   0.0217   -0.245
0.666   -0.0143   0.0197   -0.484
0.692   -0.0228   0.0172   -0.917
0.709   -0.0282   0.0155   -1.288
0.736   -0.0371   0.0128   -2.133
0.756   -0.0440   0.0106   -3.138
