J       CT       CP       eta
0.087   0.1127   0.0482   0.205
0.107   0.1094   0.0477   0.245
0.134   0.1044   0.0468   0.298
0.155   0.1004   0.0461   0.337
0.176   0.0966   0.0454   0.373
0.197   0.0928   0.0448   0.408
0.218   0.0887   0.0440   0.440
0.241   0.0849   0.0434   0.472
0.264   0.0805   0.0426   0.499
0.288   0.0762   0.0417   0.526
0.310   0.0718   0.0408   0.546
0.330   0.0677   0.0399   0.560
0.348   0.0638   0.0390   0.569
0.373   0.0585   0.0376   0.581
0.392   0.0542   0.0364   0.582
0.416   0.0486   0.0350   0.579
0.437   0.0434   0.0336   0.565
