J       CT       CP       eta
0.126   0.1446   0.0756   0.241
0.165   0.1394   0.0756   0.304
0.198   0.1341   0.0751   0.353
0.228   0.1283   0.0741   0.395
0.261   0.1209   0.0722   0.437
0.296   0.1144   0.0707   0.479
0.331   0.1065   0.0685   0.515
0.363   0.1000   0.0667   0.544
0.390   0.0953   0.0657   0.566
0.427   0.0876   0.0635   0.589
0.460   0.0807   0.0612   0.607
0.496   0.0737   0.0591   0.619
0.523   0.0683   0.0574   0.622
0.558   0.0606   0.0547   0.618
0.583   0.0552   0.0527   0.611
0.624   0.0451   0.0486   0.579
0.655   0.0370   0.0453   0.536
