J       CT       CP       eta
0.111   0.1434   0.0874   0.182
0.141   0.1405   0.0870   0.227
0.172   0.1374   0.0867   0.273
0.203   0.1343   0.0866   0.314
0.234   0.1307   0.0864   0.354
0.265   0.1269   0.0862   0.390
0.296   0.1227   0.0859   0.423
0.328   0.1177   0.0850   0.453
0.358   0.1125   0.0842   0.478
0.390   0.1059   0.0825   0.500
0.420   0.0995   0.0807   0.517
0.449   0.0930   0.0788   0.530
0.478   0.0867   0.0769   0.539
0.511   0.0792   0.0743   0.544
0.535   0.0735   0.0723   0.544
0.568   0.0654   0.0692   0.537
0.596   0.0592   0.0669   0.527
