J       CT       CP       eta
0.128   0.0993   0.0467   0.273
0.161   0.0939   0.0459   0.329
0.193   0.0891   0.0454   0.379
0.228   0.0832   0.0444   0.427
0.259   0.0780   0.0436   0.464
0.296   0.0717   0.0427   0.497
0.326   0.0657   0.0416   0.515
0.361   0.0585   0.0402   0.526
0.388   0.0529   0.0389   0.527
0.421   0.0452   0.0370   0.514
0.460   0.0361   0.0348   0.477
0.487   0.0292   0.0330   0.430
0.519   0.0208   0.0307   0.351
0.548   0.0127   0.0286   0.243
0.585   0.0018   0.0256   0.041
0.616   -0.0077   0.0228   -0.208
0.647   -0.0172   0.0201   -0.553
