J       CT       CP       eta
0.104   0.1688   0.1159   0.152
0.137   0.1658   0.1135   0.201
0.160   0.1631   0.1118   0.234
0.195   0.1589   0.1099   0.282
0.220   0.1563   0.1091   0.315
0.248   0.1536   0.1086   0.350
0.278   0.1495   0.1077   0.387
0.309   0.1455   0.1068   0.421
0.338   0.1418   0.1064   0.450
0.367   0.1377   0.1060   0.477
0.396   0.1332   0.1053   0.501
0.423   0.1289   0.1047   0.521
0.449   0.1245   0.1040   0.538
0.481   0.1173   0.1019   0.554
0.509   0.1111   0.0999   0.565
0.535   0.1046   0.0976   0.573
0.574   0.0936   0.0931   0.577
