J       CT       CP       eta
0.114   0.1055   0.0516   0.233
0.143   0.1032   0.0518   0.285
0.172   0.1014   0.0518   0.336
0.200   0.0986   0.0520   0.378
0.231   0.0952   0.0523   0.421
0.262   0.0919   0.0526   0.458
0.290   0.0884   0.0527   0.487
0.319   0.0848   0.0527   0.514
0.345   0.0810   0.0525   0.532
0.373   0.0767   0.0521   0.549
0.399   0.0718   0.0513   0.559
0.437   0.0634   0.0493   0.563
0.462   0.0577   0.0475   0.561
0.489   0.0503   0.0448   0.550
0.516   0.0442   0.0425   0.536
0.549   0.0358   0.0389   0.505
0.576   0.0289   0.0356   0.468
