J       CT       CP       eta
0.484   0.0934   0.0796   0.567
0.515   0.0893   0.0795   0.579
0.545   0.0845   0.0792   0.582
0.566   0.0800   0.0778   0.582
0.605   0.0730   0.0764   0.578
0.628   0.0681   0.0749   0.571
0.665   0.0592   0.0714   0.551
0.685   0.0543   0.0693   0.537
0.723   0.0443   0.0646   0.496
0.740   0.0395   0.0623   0.469
0.783   0.0290   0.0565   0.402
0.809   0.0224   0.0527   0.344
0.840   0.0151   0.0485   0.261
0.869   0.0078   0.0440   0.154
0.896   0.0012   0.0399   0.027
0.929   -0.0072   0.0352   -0.190
0.956   -0.0138   0.0311   -0.422
0.990   -0.0219   0.0257   -0.842
1.015   -0.0281   0.0213   -1.343
1.045   -0.0350   0.0163   -2.249
1.073   -0.0420   0.0112   -4.025
