J       CT       CP       eta
0.077   0.0593   0.0241   0.188
0.105   0.0557   0.0239   0.245
0.122   0.0535   0.0237   0.276
0.146   0.0501   0.0233   0.313
0.168   0.0467   0.0229   0.343
0.190   0.0436   0.0225   0.369
0.212   0.0403   0.0220   0.389
0.237   0.0362   0.0213   0.402
0.259   0.0327   0.0207   0.408
0.280   0.0291   0.0200   0.407
0.305   0.0246   0.0190   0.395
0.325   0.0213   0.0182   0.382
0.350   0.0169   0.0171   0.346
0.370   0.0134   0.0162   0.307
0.392   0.0094   0.0150   0.244
0.414   0.0052   0.0138   0.157
0.440   0.0003   0.0123   0.012
