J       CT       CP       eta
0.105   0.0923   0.0407   0.239
0.135   0.0892   0.0409   0.294
0.155   0.0870   0.0410   0.329
0.185   0.0831   0.0411   0.375
0.211   0.0794   0.0409   0.409
0.237   0.0748   0.0404   0.438
0.264   0.0700   0.0398   0.464
0.292   0.0641   0.0387   0.483
0.314   0.0598   0.0378   0.498
0.341   0.0541   0.0364   0.508
0.372   0.0481   0.0346   0.517
0.397   0.0429   0.0330   0.517
0.423   0.0379   0.0312   0.513
0.445   0.0332   0.0294   0.502
0.472   0.0278   0.0274   0.479
0.497   0.0230   0.0256   0.446
0.524   0.0179   0.0237   0.395
