J       CT       CP       eta
0.131   0.1049   0.0575   0.239
0.164   0.1035   0.0578   0.293
0.198   0.1014   0.0578   0.348
0.231   0.1003   0.0577   0.401
0.265   0.0964   0.0580   0.440
0.296   0.0923   0.0581   0.471
0.331   0.0868   0.0577   0.498
0.365   0.0804   0.0566   0.518
0.396   0.0746   0.0554   0.533
0.431   0.0669   0.0534   0.540
0.465   0.0600   0.0512   0.545
0.496   0.0533   0.0486   0.544
0.525   0.0471   0.0462   0.535
0.556   0.0407   0.0435   0.521
0.591   0.0337   0.0402   0.496
0.625   0.0268   0.0369   0.455
0.654   0.0209   0.0339   0.402
