J       CT       CP       eta
0.206   0.1111   0.0758   0.302
0.242   0.1113   0.0749   0.359
0.277   0.1108   0.0751   0.409
0.311   0.1100   0.0751   0.455
0.347   0.1082   0.0754   0.497
0.382   0.1058   0.0760   0.531
0.413   0.1031   0.0764   0.557
0.452   0.1002   0.0767   0.591
0.486   0.0964   0.0766   0.611
0.521   0.0917   0.0765   0.624
0.554   0.0865   0.0756   0.634
0.588   0.0809   0.0744   0.639
0.618   0.0760   0.0731   0.643
0.651   0.0694   0.0708   0.638
0.682   0.0629   0.0682   0.629
