J       CT       CP       eta
0.581   0.0765   0.1092   0.407
0.616   0.0732   0.1088   0.414
0.655   0.0685   0.1083   0.414
0.682   0.0642   0.1083   0.405
0.717   0.0587   0.1081   0.389
0.758   0.0522   0.1073   0.368
0.790   0.0461   0.1068   0.341
0.817   0.0412   0.1062   0.317
0.852   0.0335   0.1051   0.271
0.890   0.0255   0.1031   0.220
0.934   0.0154   0.0999   0.144
0.962   0.0075   0.0971   0.075
0.991   -0.0005   0.0941   -0.006
1.033   -0.0137   0.0876   -0.161
1.062   -0.0229   0.0836   -0.291
1.099   -0.0349   0.0771   -0.497
1.123   -0.0436   0.0721   -0.679
1.175   -0.0603   0.0622   -1.139
1.210   -0.0712   0.0554   -1.555
1.242   -0.0806   0.0495   -2.024
1.266   -0.0887   0.0450   -2.498
1.313   -0.1031   0.0368   -3.682
1.333   -0.1088   0.0330   -4.389
1.379   -0.1230   0.0254   -6.684
