J       CT       CP       eta
0.407   0.0823   0.0612   0.547
0.432   0.0793   0.0611   0.561
0.456   0.0755   0.0610   0.565
0.479   0.0717   0.0604   0.569
0.502   0.0674   0.0596   0.568
0.524   0.0626   0.0584   0.562
0.551   0.0572   0.0569   0.553
0.573   0.0516   0.0548   0.540
0.595   0.0464   0.0528   0.522
0.625   0.0382   0.0492   0.485
0.647   0.0329   0.0467   0.455
0.668   0.0272   0.0439   0.415
0.698   0.0194   0.0397   0.342
0.720   0.0142   0.0369   0.277
0.739   0.0101   0.0347   0.214
0.769   0.0027   0.0306   0.068
0.790   -0.0024   0.0278   -0.067
0.816   -0.0088   0.0242   -0.297
0.837   -0.0138   0.0214   -0.541
0.864   -0.0210   0.0170   -1.063
0.881   -0.0254   0.0143   -1.569
0.905   -0.0317   0.0102   -2.823
