J       CT       CP       eta
0.142   0.0815   0.0433   0.268
0.179   0.0765   0.0431   0.317
0.217   0.0711   0.0425   0.363
0.253   0.0657   0.0416   0.400
0.289   0.0613   0.0409   0.434
0.326   0.0562   0.0398   0.461
0.362   0.0505   0.0384   0.477
0.398   0.0444   0.0366   0.484
0.439   0.0369   0.0341   0.475
0.464   0.0323   0.0324   0.463
0.506   0.0244   0.0293   0.421
0.549   0.0159   0.0258   0.338
0.582   0.0096   0.0232   0.241
0.617   0.0023   0.0201   0.072
0.650   -0.0043   0.0170   -0.163
0.686   -0.0122   0.0131   -0.637
0.721   -0.0198   0.0097   -1.471
