J       CT       CP       eta
0.129   0.0669   0.0333   0.260
0.159   0.0625   0.0327   0.304
0.192   0.0582   0.0320   0.349
0.228   0.0532   0.0312   0.389
0.258   0.0489   0.0304   0.416
0.292   0.0440   0.0292   0.440
0.327   0.0387   0.0279   0.453
0.355   0.0344   0.0267   0.458
0.393   0.0281   0.0247   0.448
0.424   0.0227   0.0229   0.421
0.456   0.0170   0.0208   0.372
0.488   0.0108   0.0184   0.285
0.516   0.0055   0.0164   0.172
0.549   -0.0010   0.0137   -0.039
0.580   -0.0073   0.0108   -0.395
0.612   -0.0136   0.0079   -1.047
