J       CT       CP       eta
0.444   0.0682   0.0532   0.569
0.469   0.0645   0.0524   0.579
0.498   0.0601   0.0512   0.584
0.522   0.0561   0.0499   0.586
0.546   0.0518   0.0485   0.583
0.576   0.0467   0.0467   0.577
0.600   0.0421   0.0447   0.565
0.629   0.0365   0.0422   0.543
0.651   0.0321   0.0402   0.521
0.681   0.0258   0.0370   0.475
0.712   0.0194   0.0336   0.412
0.730   0.0158   0.0316   0.365
0.761   0.0090   0.0278   0.247
0.791   0.0024   0.0240   0.079
0.816   -0.0031   0.0208   -0.120
0.843   -0.0106   0.0171   -0.523
0.870   -0.0172   0.0129   -1.160
0.895   -0.0233   0.0090   -2.311
