J       CT       CP       eta
0.105   0.0946   0.0475   0.209
0.130   0.0919   0.0477   0.250
0.156   0.0895   0.0480   0.291
0.182   0.0868   0.0482   0.329
0.210   0.0838   0.0482   0.364
0.236   0.0806   0.0482   0.394
0.260   0.0773   0.0480   0.418
0.286   0.0734   0.0477   0.440
0.311   0.0695   0.0473   0.458
0.337   0.0658   0.0467   0.474
0.362   0.0616   0.0459   0.486
0.389   0.0573   0.0450   0.495
0.414   0.0529   0.0439   0.499
0.443   0.0476   0.0424   0.497
0.468   0.0430   0.0410   0.491
0.493   0.0382   0.0394   0.478
0.519   0.0328   0.0374   0.456
