J       CT       CP       eta
0.095   0.1185   0.0576   0.195
0.119   0.1168   0.0578   0.240
0.143   0.1150   0.0581   0.283
0.169   0.1126   0.0583   0.327
0.195   0.1104   0.0586   0.367
0.219   0.1076   0.0587   0.402
0.243   0.1050   0.0589   0.433
0.268   0.1023   0.0592   0.464
0.292   0.0991   0.0591   0.490
0.317   0.0960   0.0591   0.514
0.341   0.0921   0.0587   0.535
0.361   0.0889   0.0584   0.550
0.384   0.0849   0.0578   0.565
0.413   0.0800   0.0571   0.579
0.436   0.0750   0.0557   0.587
0.460   0.0703   0.0545   0.593
0.482   0.0650   0.0527   0.595
