J       CT       CP       eta
0.126   0.0768   0.0353   0.275
0.157   0.0735   0.0351   0.329
0.189   0.0698   0.0348   0.380
0.219   0.0656   0.0343   0.420
0.256   0.0600   0.0334   0.459
0.284   0.0551   0.0323   0.483
0.320   0.0492   0.0310   0.508
0.349   0.0444   0.0299   0.518
0.384   0.0380   0.0281   0.519
0.411   0.0323   0.0262   0.506
0.442   0.0255   0.0239   0.472
0.479   0.0181   0.0211   0.412
0.498   0.0143   0.0196   0.363
0.537   0.0062   0.0164   0.205
0.569   -0.0009   0.0134   -0.037
0.599   -0.0075   0.0106   -0.424
0.631   -0.0147   0.0074   -1.261
