J       CT       CP       eta
0.533   0.0677   0.0658   0.548
0.563   0.0606   0.0628   0.543
0.600   0.0516   0.0587   0.527
0.626   0.0456   0.0561   0.509
0.662   0.0373   0.0524   0.471
0.688   0.0312   0.0497   0.433
0.730   0.0214   0.0449   0.348
0.749   0.0169   0.0426   0.297
0.789   0.0074   0.0380   0.154
0.819   -0.0002   0.0340   -0.005
0.851   -0.0080   0.0298   -0.230
0.882   -0.0161   0.0255   -0.556
0.915   -0.0250   0.0206   -1.111
0.943   -0.0329   0.0165   -1.885
0.976   -0.0422   0.0114   -3.615
1.016   -0.0535   0.0053   -10.205
