J       CT       CP       eta
0.117   0.1033   0.0490   0.246
0.147   0.1000   0.0492   0.299
0.176   0.0961   0.0492   0.345
0.205   0.0923   0.0492   0.384
0.234   0.0872   0.0486   0.420
0.264   0.0819   0.0477   0.452
0.295   0.0755   0.0464   0.481
0.322   0.0703   0.0452   0.501
0.351   0.0638   0.0434   0.517
0.382   0.0572   0.0414   0.528
0.413   0.0493   0.0387   0.527
0.439   0.0433   0.0364   0.522
0.470   0.0359   0.0335   0.504
0.498   0.0298   0.0310   0.479
0.527   0.0232   0.0281   0.434
0.556   0.0169   0.0252   0.372
0.586   0.0108   0.0224   0.281
