J       CT       CP       eta
0.098   0.1230   0.0608   0.198
0.125   0.1206   0.0611   0.247
0.145   0.1185   0.0612   0.281
0.171   0.1160   0.0615   0.321
0.193   0.1137   0.0617   0.356
0.221   0.1103   0.0619   0.394
0.244   0.1076   0.0620   0.424
0.266   0.1043   0.0616   0.451
0.291   0.1011   0.0615   0.478
0.319   0.0969   0.0611   0.506
0.342   0.0940   0.0611   0.526
0.363   0.0910   0.0609   0.542
0.387   0.0873   0.0606   0.558
0.414   0.0832   0.0601   0.574
0.439   0.0792   0.0595   0.584
0.462   0.0746   0.0585   0.589
0.485   0.0692   0.0569   0.590
