J       CT       CP       eta
0.122   0.1441   0.0780   0.225
0.147   0.1421   0.0789   0.265
0.184   0.1401   0.0801   0.322
0.214   0.1360   0.0802   0.363
0.251   0.1325   0.0811   0.410
0.281   0.1285   0.0814   0.444
0.317   0.1240   0.0819   0.481
0.352   0.1192   0.0819   0.512
0.383   0.1144   0.0818   0.536
0.415   0.1095   0.0813   0.559
0.444   0.1041   0.0802   0.576
0.483   0.0974   0.0791   0.594
0.514   0.0914   0.0776   0.606
0.550   0.0843   0.0756   0.613
0.577   0.0784   0.0734   0.616
0.607   0.0710   0.0701   0.615
0.648   0.0610   0.0660   0.599
