J       CT       CP       eta
0.174   0.1080   0.0579   0.324
0.216   0.1032   0.0580   0.385
0.262   0.0975   0.0578   0.441
0.303   0.0920   0.0578   0.483
0.349   0.0838   0.0566   0.517
0.389   0.0742   0.0541   0.533
0.434   0.0612   0.0490   0.542
0.484   0.0487   0.0436   0.540
0.511   0.0428   0.0411   0.533
0.562   0.0318   0.0358   0.499
0.608   0.0227   0.0315   0.438
0.658   0.0126   0.0263   0.316
0.699   0.0039   0.0217   0.126
0.737   -0.0041   0.0169   -0.179
0.785   -0.0150   0.0103   -1.146
