J       CT       CP       eta
0.121   0.0759   0.0376   0.243
0.151   0.0709   0.0369   0.290
0.183   0.0658   0.0361   0.334
0.214   0.0603   0.0352   0.366
0.247   0.0546   0.0338   0.398
0.284   0.0469   0.0321   0.414
0.317   0.0406   0.0303   0.424
0.346   0.0345   0.0284   0.420
0.381   0.0283   0.0266   0.404
0.411   0.0222   0.0247   0.370
0.447   0.0142   0.0219   0.291
0.480   0.0067   0.0190   0.170
0.508   -0.0002   0.0162   -0.005
0.545   -0.0086   0.0130   -0.360
0.576   -0.0155   0.0102   -0.874
0.605   -0.0223   0.0076   -1.777
