J       CT       CP       eta
0.117   0.1181   0.0603   0.229
0.149   0.1151   0.0609   0.281
0.183   0.1113   0.0612   0.332
0.217   0.1072   0.0616   0.377
0.248   0.1030   0.0617   0.413
0.280   0.0977   0.0614   0.446
0.313   0.0912   0.0604   0.473
0.345   0.0838   0.0589   0.491
0.380   0.0752   0.0565   0.506
0.408   0.0682   0.0543   0.512
0.443   0.0598   0.0513   0.517
0.476   0.0517   0.0482   0.511
0.510   0.0426   0.0445   0.488
0.537   0.0364   0.0420   0.465
0.572   0.0275   0.0381   0.414
0.605   0.0201   0.0345   0.353
0.635   0.0134   0.0311   0.273
