J       CT       CP       eta
0.144   0.0829   0.0378   0.317
0.179   0.0783   0.0381   0.369
0.217   0.0716   0.0373   0.416
0.254   0.0644   0.0359   0.456
0.288   0.0572   0.0340   0.484
0.326   0.0502   0.0321   0.510
0.358   0.0445   0.0305   0.523
0.397   0.0366   0.0280   0.519
0.433   0.0297   0.0257   0.500
0.469   0.0225   0.0234   0.451
0.511   0.0143   0.0206   0.354
0.547   0.0072   0.0182   0.218
0.577   0.0008   0.0158   0.028
0.612   -0.0066   0.0131   -0.308
0.652   -0.0155   0.0095   -1.060
0.686   -0.0233   0.0065   -2.472
