J       CT       CP       eta
0.145   0.1354   0.0723   0.272
0.178   0.1308   0.0718   0.324
0.213   0.1257   0.0712   0.376
0.252   0.1189   0.0700   0.428
0.288   0.1124   0.0688   0.471
0.324   0.1049   0.0669   0.508
0.359   0.0970   0.0647   0.538
0.396   0.0875   0.0615   0.563
0.437   0.0776   0.0582   0.582
0.467   0.0698   0.0553   0.589
0.504   0.0603   0.0519   0.587
0.544   0.0505   0.0482   0.570
0.570   0.0429   0.0451   0.542
0.609   0.0328   0.0413   0.483
0.648   0.0219   0.0371   0.382
0.683   0.0113   0.0330   0.234
0.719   0.0006   0.0288   0.016
