J       CT       CP       eta
0.085   0.1126   0.0489   0.196
0.109   0.1084   0.0483   0.245
0.129   0.1046   0.0477   0.284
0.154   0.0999   0.0469   0.329
0.175   0.0957   0.0461   0.363
0.197   0.0908   0.0451   0.396
0.219   0.0859   0.0440   0.427
0.243   0.0803   0.0428   0.455
0.263   0.0751   0.0416   0.474
0.287   0.0689   0.0403   0.490
0.304   0.0642   0.0393   0.498
0.328   0.0578   0.0378   0.502
0.352   0.0513   0.0362   0.499
0.375   0.0451   0.0347   0.487
0.392   0.0402   0.0335   0.471
0.415   0.0333   0.0317   0.437
0.435   0.0273   0.0301   0.395
