J       CT       CP       eta
0.102   0.1436   0.0755   0.195
0.131   0.1401   0.0746   0.246
0.157   0.1359   0.0736   0.290
0.181   0.1324   0.0729   0.329
0.207   0.1280   0.0719   0.370
0.235   0.1236   0.0710   0.408
0.263   0.1179   0.0695   0.446
0.289   0.1133   0.0685   0.478
0.316   0.1067   0.0664   0.508
0.342   0.1006   0.0645   0.533
0.369   0.0945   0.0627   0.556
0.397   0.0880   0.0606   0.577
0.417   0.0823   0.0583   0.588
0.441   0.0757   0.0559   0.598
0.471   0.0676   0.0528   0.604
0.495   0.0607   0.0501   0.600
0.523   0.0526   0.0469   0.587
