J       CT       CP       eta
0.136   0.0910   0.0430   0.287
0.175   0.0830   0.0413   0.350
0.210   0.0756   0.0394   0.404
0.246   0.0688   0.0376   0.452
0.285   0.0618   0.0363   0.485
0.326   0.0541   0.0343   0.514
0.362   0.0469   0.0325   0.522
0.398   0.0394   0.0309   0.507
0.433   0.0317   0.0290   0.473
0.476   0.0209   0.0263   0.377
0.507   0.0136   0.0246   0.281
0.548   0.0024   0.0215   0.061
0.574   -0.0052   0.0195   -0.152
0.619   -0.0193   0.0158   -0.754
0.650   -0.0290   0.0132   -1.424
