J       CT       CP       eta
0.452   0.0665   0.0532   0.565
0.481   0.0598   0.0509   0.566
0.502   0.0542   0.0490   0.556
0.533   0.0463   0.0465   0.531
0.561   0.0389   0.0439   0.498
0.590   0.0310   0.0411   0.445
0.614   0.0238   0.0387   0.378
0.638   0.0163   0.0362   0.287
0.668   0.0076   0.0329   0.155
0.690   0.0005   0.0304   0.011
0.723   -0.0101   0.0266   -0.275
0.749   -0.0184   0.0233   -0.592
0.779   -0.0285   0.0197   -1.125
0.807   -0.0393   0.0156   -2.029
0.832   -0.0486   0.0120   -3.360
0.859   -0.0587   0.0080   -6.272
