J       CT       CP       eta
0.159   0.0908   0.0467   0.309
0.194   0.0837   0.0453   0.359
0.237   0.0768   0.0442   0.412
0.274   0.0702   0.0430   0.447
0.321   0.0616   0.0415   0.477
0.360   0.0525   0.0394   0.480
0.404   0.0427   0.0372   0.464
0.439   0.0343   0.0351   0.429
0.483   0.0231   0.0323   0.346
0.520   0.0135   0.0298   0.236
0.551   0.0051   0.0276   0.102
0.597   -0.0074   0.0241   -0.184
0.640   -0.0198   0.0206   -0.613
0.676   -0.0315   0.0171   -1.248
0.718   -0.0449   0.0130   -2.475
0.758   -0.0585   0.0087   -5.079
