J       CT       CP       eta
0.130   0.1396   0.0794   0.228
0.160   0.1354   0.0781   0.278
0.191   0.1305   0.0768   0.325
0.222   0.1257   0.0755   0.370
0.255   0.1205   0.0743   0.414
0.290   0.1141   0.0727   0.455
0.325   0.1075   0.0710   0.491
0.356   0.1013   0.0695   0.520
0.386   0.0948   0.0675   0.542
0.421   0.0862   0.0645   0.562
0.444   0.0795   0.0619   0.571
0.481   0.0699   0.0581   0.578
0.518   0.0606   0.0545   0.577
0.542   0.0551   0.0524   0.570
0.576   0.0463   0.0489   0.546
0.607   0.0380   0.0454   0.508
0.640   0.0293   0.0418   0.449
