J       CT       CP       eta
0.121   0.1144   0.0569   0.244
0.157   0.1113   0.0582   0.300
0.193   0.1040   0.0577   0.348
0.225   0.0972   0.0566   0.386
0.262   0.0900   0.0556   0.424
0.294   0.0835   0.0544   0.451
0.327   0.0768   0.0528   0.476
0.366   0.0688   0.0506   0.497
0.396   0.0628   0.0488   0.509
0.434   0.0561   0.0469   0.520
0.464   0.0506   0.0450   0.522
0.504   0.0428   0.0422   0.512
0.532   0.0377   0.0401   0.499
0.573   0.0295   0.0367   0.460
0.595   0.0252   0.0348   0.432
0.636   0.0161   0.0302   0.338
0.670   0.0082   0.0264   0.208
