J       CT       CP       eta
0.093   0.1115   0.0589   0.175
0.118   0.1091   0.0587   0.218
0.144   0.1064   0.0585   0.261
0.170   0.1036   0.0584   0.301
0.193   0.1010   0.0583   0.335
0.220   0.0979   0.0581   0.371
0.243   0.0948   0.0578   0.399
0.269   0.0916   0.0575   0.429
0.296   0.0881   0.0572   0.455
0.321   0.0848   0.0570   0.477
0.346   0.0816   0.0569   0.495
0.375   0.0774   0.0566   0.512
0.398   0.0730   0.0559   0.520
0.422   0.0683   0.0548   0.526
0.449   0.0617   0.0526   0.526
0.472   0.0561   0.0507   0.521
0.501   0.0488   0.0478   0.512
