J       CT       CP       eta
0.144   0.1005   0.0594   0.244
0.177   0.1000   0.0591   0.300
0.216   0.0984   0.0593   0.358
0.257   0.0956   0.0601   0.409
0.294   0.0920   0.0604   0.449
0.330   0.0886   0.0607   0.482
0.364   0.0842   0.0606   0.506
0.404   0.0796   0.0602   0.535
0.438   0.0748   0.0595   0.551
0.471   0.0698   0.0586   0.562
0.501   0.0652   0.0576   0.567
0.541   0.0575   0.0555   0.560
0.573   0.0510   0.0533   0.549
0.613   0.0415   0.0493   0.515
0.642   0.0341   0.0459   0.478
0.686   0.0233   0.0404   0.395
0.726   0.0131   0.0349   0.273
