J       CT       CP       eta
0.173   0.0970   0.0530   0.316
0.218   0.0923   0.0536   0.376
0.259   0.0876   0.0537   0.423
0.304   0.0823   0.0537   0.466
0.354   0.0746   0.0529   0.499
0.391   0.0681   0.0517   0.515
0.438   0.0573   0.0488   0.515
0.474   0.0500   0.0464   0.511
0.526   0.0395   0.0419   0.496
0.577   0.0298   0.0374   0.460
0.611   0.0234   0.0344   0.415
0.666   0.0123   0.0284   0.287
0.699   0.0050   0.0243   0.143
0.746   -0.0050   0.0186   -0.202
0.789   -0.0138   0.0133   -0.815
0.836   -0.0241   0.0069   -2.917
