J       CT       CP       eta
0.159   0.0940   0.0524   0.285
0.200   0.0880   0.0529   0.332
0.241   0.0807   0.0525   0.370
0.282   0.0729   0.0513   0.401
0.325   0.0651   0.0499   0.423
0.362   0.0587   0.0484   0.438
0.406   0.0506   0.0459   0.447
0.448   0.0430   0.0433   0.446
0.477   0.0381   0.0415   0.438
0.528   0.0282   0.0375   0.397
0.555   0.0230   0.0353   0.362
0.601   0.0138   0.0313   0.265
0.647   0.0039   0.0267   0.095
0.686   -0.0042   0.0229   -0.125
0.729   -0.0142   0.0179   -0.578
0.769   -0.0230   0.0133   -1.322
0.804   -0.0309   0.0091   -2.738
