J       CT       CP       eta
0.089   0.0893   0.0377   0.211
0.111   0.0875   0.0378   0.256
0.131   0.0859   0.0381   0.296
0.155   0.0839   0.0383   0.339
0.176   0.0818   0.0384   0.374
0.197   0.0793   0.0384   0.407
0.219   0.0765   0.0383   0.438
0.242   0.0741   0.0384   0.468
0.264   0.0715   0.0383   0.493
0.286   0.0686   0.0381   0.514
0.308   0.0657   0.0378   0.535
0.327   0.0631   0.0374   0.551
0.348   0.0601   0.0370   0.564
0.369   0.0560   0.0361   0.573
0.393   0.0507   0.0345   0.578
0.414   0.0462   0.0330   0.578
0.433   0.0414   0.0314   0.571
